;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP;
RS;BR-470;100,000;101,000;1,000;07/07/2023;-28,2978734;-51,3914329;43,750;
RS;BR-470;101,000;102,000;1,000;07/07/2023;-28,7209633;-51,0862072;43,750;
RS;BR-470;102,000;103,000;1,000;07/07/2023;-28,5971311;-51,6203846;45,000;
RS;BR-470;103,000;104,000;1,000;07/07/2023;-28,324083;-51,2388043;51,250;
RS;BR-470;104,000;105,000;1,000;07/07/2023;-28,324083;-51,2388043;58,750;
RS;BR-470;105,000;106,000;1,000;07/07/2023;-28,324083;-51,2388043;51,250;
RS;BR-470;106,000;107,000;1,000;07/07/2023;-28,324083;-51,2388043;73,750;
RS;BR-470;107,000;108,000;1,000;07/07/2023;-28,2978734;-51,3914329;68,750;
RS;BR-470;108,000;109,000;1,000;07/07/2023;-28,2978734;-51,3914329;51,250;
RS;BR-470;109,000;110,000;1,000;07/07/2023;-28,2978734;-51,3914329;37,500;
RS;BR-470;110,000;111,000;1,000;07/07/2023;-28,2978734;-51,3914329;51,250;
RS;BR-470;111,000;112,000;1,000;07/07/2023;-28,324083;-51,2388043;45,000;
RS;BR-470;112,000;113,000;1,000;07/07/2023;-28,324083;-51,2388043;37,500;
RS;BR-470;113,000;114,000;1,000;07/07/2023;-28,324083;-51,2388043;20,000;
RS;BR-470;114,000;115,000;1,000;07/07/2023;-28,5971311;-51,6203846;15,000;
RS;BR-470;115,000;116,000;1,000;07/07/2023;-28,5290953;-50,9626303;15,000;
RS;BR-470;116,000;117,000;1,000;07/07/2023;-28,324083;-51,2388043;20,000;
RS;BR-470;117,000;118,000;1,000;07/07/2023;-28,324083;-51,2388043;30,000;
RS;BR-470;118,000;119,000;1,000;07/07/2023;-28,324083;-51,2388043;22,500;
RS;BR-470;119,000;120,000;1,000;07/07/2023;-28,5971311;-51,6203846;22,500;
RS;BR-470;120,000;121,000;1,000;07/07/2023;-28,5971311;-51,6203846;22,500;
RS;BR-470;121,000;122,000;1,000;07/07/2023;-28,324083;-51,2388043;37,500;
RS;BR-470;122,000;123,000;1,000;07/07/2023;-28,5507669;-51,5521779;37,500;
RS;BR-470;123,000;124,000;1,000;07/07/2023;-28,5507669;-51,5521779;37,500;
RS;BR-470;124,000;125,000;1,000;07/07/2023;-28,5553926;-51,5515131;37,500;
RS;BR-470;125,000;126,000;1,000;07/07/2023;-28,5553926;-51,5515131;22,500;
